Strain	Replicate	ABX	ABXConc	DrugX	DrugXConc	normAUC	Exp
community	2	Erythromycin	1.65	Benzbromarone	20	0.0891273482577885	PM
community	2	Erythromycin	1.65	Benzbromarone	40	0.0571158312238516	PM
community	2	Erythromycin	1.65	Benzbromarone	80	0.00650854366244864	PM
community	2	Erythromycin	1.65	Benzbromarone	160	0.00730553002479654	PM
community	2	Erythromycin	1.65	Benzbromarone	320	0.00624305369022862	PM
community	2	Erythromycin	1.65	Benzbromarone	640	0.00717284037215308	PM
community	2	Erythromycin	1.15	Benzbromarone	0	0.0185458488537219	PM
community	2	Erythromycin	1.15	Benzbromarone	10	0.164041852979825	PM
community	2	Erythromycin	1.15	Benzbromarone	20	0.0897913129666937	PM
community	2	Erythromycin	1.15	Benzbromarone	40	0.17772272056874	PM
community	2	Erythromycin	1.15	Benzbromarone	80	0.0297532844885146	PM
community	2	Erythromycin	1.15	Benzbromarone	160	0.00703989249666573	PM
community	2	Erythromycin	1.15	Benzbromarone	320	0.00571174174498927	PM
community	2	Erythromycin	1.15	Benzbromarone	640	0.00677440252444564	PM
community	2	Erythromycin	0.65	Benzbromarone	0	0.102012077930841	PM
community	2	Erythromycin	0.65	Benzbromarone	10	0.446725981503616	PM
community	2	Erythromycin	0.65	Benzbromarone	20	0.270967026289314	PM
community	2	Erythromycin	0.65	Benzbromarone	40	0.23895561992231	PM
community	2	Erythromycin	0.65	Benzbromarone	80	0.0244402019250988	PM
community	2	Erythromycin	0.65	Benzbromarone	160	0.0136811995897133	PM
community	2	Erythromycin	0.65	Benzbromarone	320	0.00717284037215308	PM
community	2	Erythromycin	0.65	Benzbromarone	640	0.00836830147118603	PM
community	2	Erythromycin	0.15	Benzbromarone	0	0.83429299701308	PM
community	2	Erythromycin	0.15	Benzbromarone	10	0.827877801446708	PM
community	2	Erythromycin	0.15	Benzbromarone	20	0.432485857642075	PM
community	2	Erythromycin	0.15	Benzbromarone	40	0.446299525550566	PM
community	2	Erythromycin	0.15	Benzbromarone	80	0.0866031830724139	PM
community	2	Erythromycin	0.15	Benzbromarone	160	0.00411765835336049	PM
community	2	Erythromycin	0.15	Benzbromarone	320	0.00876684998582646	PM
community	2	Erythromycin	0.15	Benzbromarone	640	0.00611021648167437	PM
community	2	Erythromycin	0	Benzbromarone	0	1.1	PM
community	2	Erythromycin	0	Benzbromarone	10	0.898357263966058	PM
community	2	Erythromycin	0	Benzbromarone	20	0.66161617214256	PM
community	2	Erythromycin	0	Benzbromarone	40	0.536756241896296	PM
community	2	Erythromycin	0	Benzbromarone	80	0.00624286924534021	PM
community	2	Erythromycin	0	Benzbromarone	160	0.0146110231606153	PM
community	2	Erythromycin	0	Benzbromarone	320	0.00783702641492434	PM
community	2	Erythromycin	0	Benzbromarone	640	0.0066414546489584	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	0	0.00741296436302611	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	10	0.00820719347700609	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	20	0.00833289307855614	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	40	0.00953100669725757	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	80	0.00754530524755875	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	160	0.00450088927330424	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	320	0.00714809878717674	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	640	0.0121832676187484	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	0	0.0111194281638607	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	10	0.00641040220606213	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	20	0.00784970441378775	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	40	0.00915696792807742	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	80	0.00860428965331766	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	160	0.00794229113979989	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	320	9.26569998512652e-4	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	640	0.0102401108815836	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	0	0.00754545229298601	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	10	0.0103905492853844	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	20	0.00939884555502083	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	40	0.0112949307244864	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	80	0.00676808953166246	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	160	0.00675096584950832	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	320	0.00503005645294527	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	640	0.0138358452907201	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	0	0.0165467278385448	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	10	0.0140316260893585	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	20	0.0206998174763386	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	40	0.0358723936841339	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	80	0.0250180516642636	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	160	0.00595658969010105	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	320	0.00225023617333687	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	640	0.00767034628633771	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	0	0.0207825551775099	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	10	0.0263419384072288	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	20	0.0946440247098062	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	40	0.147089122553041	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	80	0.0583167446264911	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	160	0.0104836967173605	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	320	0.0101924537904232	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	640	0.0193779175626649	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	0	0.109736329413243	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	10	0.36030717495663	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	20	0.456540466644249	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	40	0.432272913664321	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	80	0.154274254316819	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	160	0.0384360445966129	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	320	0.00476519087709586	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	640	0.0137381323708544	PM
community	2	Erythromycin	0.15	Tolfenamic Acid	0	0.846260081106422	PM
community	2	Erythromycin	0.15	Tolfenamic Acid	10	0.853569849040221	PM
community	2	Erythromycin	0.15	Tolfenamic Acid	20	0.804698624059695	PM
